user_id,os_name
167c4c95-4554-4926-b084-5d166ce0960f,Mac OSX 10.10.3
3187bc6c-cbd2-4dc5-ab23-a4ecf7349e66,Mac OSX 10.10.3
109fc950-50ff-4492-820a-59df9b4f2baf,Mac OSX 10.10.5
1a41ad9d-0dd4-44de-b247-d1bcb9030bde,Mac OSX 10.10.5
2392d0f7-e882-43db-90f3-22a3664c4b4b,Mac OSX 10.10.5
3b9efbc0-61b4-4fa6-bdb2-ccb49f335ff2,Mac OSX 10.10.5
5264f37b-5569-4840-b225-0770d151ccbd,Mac OSX 10.10.5
52c4eb9f-4e11-437a-8a2a-748c66265aa3,Mac OSX 10.10.5
60ac1b98-3259-4e74-8cef-fae1b0050381,Mac OSX 10.10.5
61801913-b7ed-457e-8825-cf4e5a07f261,Mac OSX 10.10.5
64216e6d-615f-469f-9b59-b5d34f3254e7,Mac OSX 10.10.5
8874e427-99e8-485d-b475-b2cb96de24ec,Mac OSX 10.10.5
995fcac9-d150-4c73-9e6a-e0e06cb4dd10,Mac OSX 10.10.5
a11f33e6-9b5b-4a86-bfb0-899fec17fb55,Mac OSX 10.10.5
a4997f67-0d6e-4fb9-a48a-a19a398bf3df,Mac OSX 10.10.5
a9e7e432-f571-425b-9093-1e653ddb7ea0,Mac OSX 10.10.5
b5323b48-8eef-49db-9341-6cc47c8ea608,Mac OSX 10.10.5
bc4b988e-9bca-4bb8-86f0-e68d5c509bd6,Mac OSX 10.10.5
c0745f65-bd3e-4165-80b6-31b3708a08a2,Mac OSX 10.10.5
d4a112d4-c608-4ce0-8260-5ab1d7ca7ba6,Mac OSX 10.10.5
d87fb22c-e175-4357-8e63-75014e94271e,Mac OSX 10.10.5
db34a5db-e7c8-42d6-a565-845b523845cc,Mac OSX 10.10.5
dd699ac6-045a-447a-942d-e99e7feb8523,Mac OSX 10.10.5
f321d5d7-11b2-431f-ba8e-34e424bad71c,Mac OSX 10.10.5
fe1fca8f-9e5f-43c9-91bb-4740f651089a,Mac OSX 10.10.5
b7cc0b31-5b75-4dfe-8ae9-75bd8f038eb7,Mac OSX 10.11.1
9d3b4f05-0b9e-4cf4-8040-ca69b33e8f36,Mac OSX 10.11.2
